0, 0, Header, 0, 1, 960
1, 0, Start_track
1, 0, Program_c, 1, 51
1, 0, Program_c, 2, 81
1, 0, Program_c, 3, 60
1, 0, Program_c, 4, 81
1, 0, Program_c, 5, 81
1, 0, Program_c, 6, 49
1, 0, Program_c, 7, 49
1, 0, Program_c, 8, 73
1, 0, Program_c, 10, 35
1, 0, Program_c, 11, 89
1, 0, Program_c, 12, 51
1, 0, Program_c, 13, 103
1, 0, Program_c, 14, 103
1, 0, Program_c, 15, 103
1, 0, Title_t, "SynString2          "
1, 0, Control_c, 1, 7, 120
1, 0, Control_c, 1, 10, 0
1, 0, Title_t, "Saw Ld              "
1, 0, Control_c, 2, 7, 120
1, 0, Control_c, 2, 10, 90
1, 0, Title_t, "FrenchHorn          "
1, 0, Control_c, 3, 7, 120
1, 0, Control_c, 3, 10, 20
1, 0, Title_t, "Saw Ld              "
1, 0, Control_c, 4, 7, 120
1, 0, Control_c, 4, 10, 0
1, 0, Title_t, "Saw Ld              "
1, 0, Control_c, 5, 7, 120
1, 0, Control_c, 5, 10, 0
1, 0, Title_t, "Ensemble2           "
1, 0, Control_c, 6, 7, 120
1, 0, Control_c, 6, 10, 64
1, 0, Title_t, "Ensemble2"
1, 0, Control_c, 7, 7, 120
1, 0, Control_c, 7, 10, 64
1, 0, Title_t, "Flute"
1, 0, Control_c, 8, 7, 120
1, 0, Control_c, 8, 10, 100
1, 0, Title_t, "FretlessBase"
1, 0, Control_c, 10, 7, 120
1, 0, Control_c, 10, 10, 127
1, 0, Title_t, "Warm Pad"
1, 0, Control_c, 11, 7, 120
1, 0, Control_c, 11, 10, 64
1, 0, Title_t, "SynString2"
1, 0, Control_c, 12, 7, 120
1, 0, Control_c, 12, 10, 30
1, 0, Title_t, "Sci Fi               "
1, 0, Control_c, 13, 7, 120
1, 0, Control_c, 13, 10, 0
1, 0, Title_t, "Sci Fi"
1, 0, Control_c, 14, 7, 120
1, 0, Control_c, 14, 10, 127
1, 0, Title_t, "Sci Fi"
1, 0, Control_c, 15, 7, 120
1, 0, Control_c, 15, 10, 64
1, 0, Title_t, "*************************"
1, 0, Title_t, "Equinoxe Part 1"
1, 0, Title_t, "      by"
1, 0, Title_t, "Jean-Michel Jarre"
1, 0, Title_t, "*****************"
1, 60, Control_c, 1, 121, 0
1, 60, Control_c, 2, 121, 0
1, 60, Control_c, 3, 121, 0
1, 60, Control_c, 4, 121, 0
1, 60, Control_c, 5, 121, 0
1, 60, Control_c, 6, 121, 0
1, 60, Control_c, 7, 121, 0
1, 60, Control_c, 8, 121, 0
